MANBLCKPSRID,MAVBLCKSCTN,MANSEQNUMBER,MANFROMKM,MANTOKM,MAVFROMSUBKM,MAVTOSUBKM,MACKMOHEFLAG,MANCURVEANGLE,MANCURVERADIUS,MAVREMARKS,MADMDFYTIME,MAVMDFYBY,MAVAUTHORITY,MACSTATUS,MANDISTANCE,MANTIMELOSSPSGR,MANTIMELOSSGOODS
74190,SGDM-PDU,1,765,202,764,849,K,0.5,3500,,26-Apr-20,WAT,Zone,O,340,0,0
74191,PDU-DUSI,1,763,653,763,313,K,0.5,3500,,26-Apr-20,WAT,Zone,O,340,0,0
74192,PDU-DUSI,1,761,910,761,790,K,0.5,3500,,26-Apr-20,WAT,Zone,O,120,0,0
74193,PDU-DUSI,1,761,750,761,660,K,0.5,3500,,26-Apr-20,WAT,Zone,O,90,0,0
74194,PDU-DUSI,1,760,599,760,459,K,0.5,3500,,26-Apr-20,WAT,Zone,O,140,0,0
74195,PDU-DUSI,1,760,441,760,301,K,0.5,3500,,26-Apr-20,WAT,Zone,O,140,0,0
74196,PDU-DUSI,1,759,46,758,736,K,1,1750,,26-Apr-20,WAT,Zone,O,311,0,0
74197,PDU-DUSI,1,757,117,756,363,K,2,875,,26-Apr-20,WAT,Zone,O,757,0,0
74198,PDU-DUSI,1,755,532,755,272,K,0.5,3500,,26-Apr-20,WAT,Zone,O,260,0,0
74199,DUSI-CHE,1,755,252,754,992,K,0.5,3500,,26-Apr-20,WAT,Zone,O,260,0,0
74200,DUSI-CHE,1,754,70,753,840,K,1.5,1167,,26-Apr-20,WAT,Zone,O,230,0,0
74201,DUSI-CHE,1,752,695,752,555,K,0.5,3500,,26-Apr-20,WAT,Zone,O,140,0,0
74202,DUSI-CHE,1,752,494,752,354,K,0.5,3500,,26-Apr-20,WAT,Zone,O,140,0,0
74203,DUSI-CHE,1,750,382,750,132,K,2,875,,26-Apr-20,WAT,Zone,O,250,0,0
74204,DUSI-CHE,1,749,867,749,737,K,0.5,3500,,26-Apr-20,WAT,Zone,O,130,0,0
74205,DUSI-CHE,1,749,713,749,583,K,0.5,3500,,26-Apr-20,WAT,Zone,O,130,0,0
74206,CHE-ULM,1,748,340,748,210,K,0.5,3500,,26-Apr-20,WAT,Zone,O,130,0,0
74207,CHE-ULM,1,748,210,748,60,K,0.5,3500,,26-Apr-20,WAT,Zone,O,150,0,0
74208,CHE-ULM,1,745,378,744,638,K,2,875,,26-Apr-20,WAT,Zone,O,746,0,0
74209,CHE-ULM,1,743,832,743,492,K,0.5,3500,,26-Apr-20,WAT,Zone,O,340,0,0
74210,CHE-ULM,1,743,419,743,129,K,0.87,2011,,26-Apr-20,WAT,Zone,O,290,0,0
74211,CHE-ULM,1,742,618,742,218,K,2,875,,26-Apr-20,WAT,Zone,O,400,0,0
74212,CHE-ULM,1,740,30,739,570,K,2,875,,26-Apr-20,WAT,Zone,O,461,0,0
74213,CHE-ULM,1,739,540,739,280,K,2,875,,26-Apr-20,WAT,Zone,O,260,0,0
74214,ULM-TIU,1,738,689,738,549,K,0.5,3500,,26-Apr-20,WAT,Zone,O,140,0,0
74215,ULM-TIU,1,738,549,738,409,K,0.5,3500,,26-Apr-20,WAT,Zone,O,140,0,0
74216,ULM-TIU,1,737,295,736,745,K,2,875,,26-Apr-20,WAT,Zone,O,503,0,0
74217,ULM-TIU,1,735,123,734,983,K,0.5,3500,,26-Apr-20,WAT,Zone,O,174,0,0
74218,ULM-TIU,1,734,940,734,800,K,0.5,3500,,26-Apr-20,WAT,Zone,O,140,0,0
74219,ULM-TIU,1,733,691,733,121,K,0.5,3500,,26-Apr-20,WAT,Zone,O,570,0,0
74220,ULM-TIU,1,732,39,731,939,K,1,1750,,26-Apr-20,WAT,Zone,O,82,0,0
74221,ULM-TIU,1,730,112,729,932,K,1,1750,,26-Apr-20,WAT,Zone,O,242,0,0
74222,ULM-TIU,1,729,895,729,715,K,1,1750,,26-Apr-20,WAT,Zone,O,180,0,0
74223,ULM-TIU,1,731,880,731,780,K,1,1750,,26-Apr-20,WAT,Zone,O,100,0,0
74224,TIU-KBM,1,728,212,727,932,K,2,875,,26-Apr-20,WAT,Zone,O,290,0,0
74225,TIU-KBM,1,727,848,727,718,K,0.5,3500,,26-Apr-20,WAT,Zone,O,130,0,0
74226,TIU-KBM,1,727,714,727,584,K,0.5,3500,,26-Apr-20,WAT,Zone,O,130,0,0
74227,TIU-KBM,1,726,780,726,250,K,2,875,,26-Apr-20,WAT,Zone,O,530,0,0
74228,TIU-KBM,1,724,1000,724,870,K,0.5,3500,,26-Apr-20,WAT,Zone,O,130,0,0
74229,TIU-KBM,1,724,870,724,770,K,0.5,3500,,26-Apr-20,WAT,Zone,O,100,0,0
74230,TIU-KBM,1,724,691,724,581,K,0.5,3500,,26-Apr-20,WAT,Zone,O,110,0,0
74231,TIU-KBM,1,724,556,724,446,K,0.5,3500,,26-Apr-20,WAT,Zone,O,110,0,0
74232,TIU-KBM,1,722,111,721,771,K,1,1750,,26-Apr-20,WAT,Zone,O,329,0,0
74233,TIU-KBM,1,721,387,721,227,K,0.5,3500,,26-Apr-20,WAT,Zone,O,160,0,0
74234,TIU-KBM,1,721,200,721,40,K,0.5,3500,,26-Apr-20,WAT,Zone,O,160,0,0
74235,TIU-KBM,1,720,531,720,371,K,0.5,3500,,26-Apr-20,WAT,Zone,O,160,0,0
74236,TIU-KBM,1,720,334,720,154,K,0.5,3500,,26-Apr-20,WAT,Zone,O,180,0,0
74237,TIU-KBM,1,717,618,717,448,K,0.5,3500,,26-Apr-20,WAT,Zone,O,170,0,0
74238,TIU-KBM,1,717,423,717,253,K,0.5,3500,,26-Apr-20,WAT,Zone,O,170,0,0
74239,TIU-KBM,1,716,716,716,466,K,0.5,3500,,26-Apr-20,WAT,Zone,O,250,0,0
74240,TIU-KBM,1,716,504,716,254,K,0.5,3500,,26-Apr-20,WAT,Zone,O,250,0,0
74241,TIU-KBM,1,716,430,716,180,K,0.5,3500,,26-Apr-20,WAT,Zone,O,250,0,0
74242,TIU-KBM,1,715,795,715,205,K,2,875,,26-Apr-20,WAT,Zone,O,590,0,0
74243,KBM-NWP,1,714,684,713,734,K,1,1750,,26-Apr-20,WAT,Zone,O,955,0,0
74244,KBM-NWP,1,709,53,708,913,K,0.75,2333,,26-Apr-20,WAT,Zone,O,124,0,0
74245,KBM-NWP,1,708,898,708,758,K,0.75,2333,,26-Apr-20,WAT,Zone,O,140,0,0
74246,KBM-NWP,1,707,804,707,434,K,2,875,,26-Apr-20,WAT,Zone,O,370,0,0
74247,KBM-NWP,1,706,32,705,712,K,1,1750,,26-Apr-20,WAT,Zone,O,321,0,0
74248,KBM-NWP,1,703,247,703,127,K,0.5,3500,,26-Apr-20,WAT,Zone,O,120,0,0
74249,KBM-NWP,1,703,90,702,960,K,0.5,3500,,26-Apr-20,WAT,Zone,O,123,0,0
74250,KBM-NWP,1,710,266,709,506,K,1.75,1000,,26-Apr-20,WAT,Zone,O,753,0,0
74251,NWP-PUN,1,700,560,700,440,K,0.5,3500,,26-Apr-20,WAT,Zone,O,120,0,0
74252,NWP-PUN,1,700,770,700,640,K,0.5,3500,,26-Apr-20,WAT,Zone,O,130,0,0
74253,NWP-PUN,1,697,980,697,860,K,0.5,3500,,26-Apr-20,WAT,Zone,O,120,0,0
74254,NWP-PUN,1,698,110,697,990,K,0.5,3500,,26-Apr-20,WAT,Zone,O,126,0,0
74255,NWP-PUN,1,693,227,692,887,K,2.5,700,,26-Apr-20,WAT,Zone,O,339,0,0
74256,NWP-PUN,1,691,201,691,101,K,0.5,3500,,26-Apr-20,WAT,Zone,O,100,0,0
74257,NWP-PUN,1,690,815,690,695,K,0.5,3500,,26-Apr-20,WAT,Zone,O,120,0,0
74258,NWP-PUN,1,690,925,690,825,K,0.5,3500,,26-Apr-20,WAT,Zone,O,100,0,0
74259,NWP-PUN,1,691,64,690,960,K,0.5,3500,,26-Apr-20,WAT,Zone,O,100,0,0
74260,PUN-PSA,1,687,270,686,821,K,2.5,700,,26-Apr-20,WAT,Zone,O,450,0,0
74261,PUN-PSA,1,683,675,683,495,K,0.5,3500,,26-Apr-20,WAT,Zone,O,180,0,0
74262,PUN-PSA,1,683,900,683,720,K,0.5,3500,,26-Apr-20,WAT,Zone,O,180,0,0
74263,PUN-PSA,1,682,693,682,363,K,1,1750,,26-Apr-20,WAT,Zone,O,330,0,0
74264,PUN-PSA,1,681,265,681,145,K,0.5,3500,,26-Apr-20,WAT,Zone,O,120,0,0
74265,PUN-PSA,1,680,291,680,161,K,1,1750,,26-Apr-20,WAT,Zone,O,130,0,0
74266,PUN-PSA,1,680,451,680,321,K,1,1750,,26-Apr-20,WAT,Zone,O,130,0,0
74267,PUN-PSA,1,681,182,680,823,K,0.5,3500,,26-Apr-20,WAT,Zone,O,350,0,0
74268,PUN-PSA,1,679,255,679,135,K,0.5,3500,,26-Apr-20,WAT,Zone,O,120,0,0
74269,PUN-PSA,1,679,415,679,295,K,0.5,3500,,26-Apr-20,WAT,Zone,O,120,0,0
74270,PUN-PSA,1,678,1004,678,884,K,0.5,3500,,26-Apr-20,WAT,Zone,O,120,0,0
74271,PUN-PSA,1,681,1054,681,374,K,2,875,,26-Apr-20,WAT,Zone,O,680,0,0
74272,PUN-PSA,1,679,107,678,1033,K,0.5,3500,,26-Apr-20,WAT,Zone,O,119,0,0
74273,PUN-PSA,1,680,795,680,625,K,0.5,3500,,26-Apr-20,WAT,Zone,O,170,0,0
